dataset,dataset_title,panel,method_pair,line_name,alpha,y_normalized,y_raw,pg_sigma_used,pg_sigma_plotted
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.6,0.9099903767638013,0.4369523525238037,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.62,0.92799185037651,0.4379047155380249,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.64,0.9459944506304512,0.43885713815689087,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.66,0.9459944506304512,0.43885713815689087,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.68,0.9099903767638013,0.4369523525238037,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.7000000000000001,0.9999999981098097,0.4417142868041992,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.72,0.92799185037651,0.4379047155380249,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.74,0.8730872431936253,0.4350000023841858,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.76,0.7992798494120408,0.4310952425003052,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.78,0.7794780031098147,0.4300476312637329,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.8,0.8532853968913993,0.4339523911476135,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.8200000000000001,0.7983796630672821,0.43104761838912964,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.84,0.8919889031510927,0.4359999895095825,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.86,0.8541855832361579,0.43400001525878906,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.88,0.8865889117237731,0.4357143044471741,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.9,0.9090913170602751,0.43690478801727295,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.92,0.7974794767225234,0.4309999942779541,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.94,0.7785778167650561,0.4300000071525574,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.96,0.7425737428984063,0.4280952215194702,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.98,0.8730872431936253,0.4350000023841858,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,1.0,0.8325833642444146,0.4328571557998657,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.0,0.22313887053599438,0.3971904516220093,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.02,0.40289235718992944,0.4013333320617676,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.04,0.41322147159294237,0.4015713930130005,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.06,0.8512416106897633,0.4116666913032532,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.08,0.8181827550528794,0.41090476512908936,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.1,0.0,0.392047643661499,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.12,0.6446308748932922,0.40690481662750244,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.14,0.7747947850129826,0.4099047780036926,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.16,0.6466946288476247,0.4069523811340332,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.18,0.35330536681352237,0.40019047260284424,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.2,0.22727155076033456,0.39728569984436035,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.22,0.6095056791442381,0.4060952663421631,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.24,0.5351251935796275,0.4043809771537781,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.26,0.35950180099219514,0.4003332853317261,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.28,0.2747947871824091,0.39838099479675293,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.3,0.23140423098467475,0.3973809480667114,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.32,0.5743804833951842,0.40528571605682373,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.34,0.6219011336594211,0.40638095140457153,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.36,0.40495869730209955,0.4013809561729431,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.38,0.7045469796727122,0.4082857370376587,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.4,0.9999999956611471,0.4150952100753784,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.42,0.5826458438438645,0.4054762125015259,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.44,0.6219011336594211,0.40638095140457153,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.46,0.665289103699318,0.40738093852996826,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.48,0.5805769175738569,0.40542852878570557,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.5,0.665289103699318,0.40738093852996826,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.52,0.7066107336270447,0.40833330154418945,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.54,0.7066107336270447,0.40833330154418945,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.56,0.665289103699318,0.40738093852996826,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.58,0.747934949712609,0.4092857241630554,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.6,0.8719024256536267,0.41214287281036377,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.62,0.7500012898247791,0.40933334827423096,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.64,0.747934949712609,0.4092857241630554,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.66,0.7045469796727122,0.4082857370376587,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.68,0.5826458438438645,0.4054762125015259,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.7000000000000001,0.7024780534027045,0.4082380533218384,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.72,0.6177710395929185,0.40628576278686523,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.74,0.7066107336270447,0.40833330154418945,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.76,0.6611564234749778,0.4072856903076172,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.78,0.49380097749406326,0.4034285545349121,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.8,0.6611564234749778,0.4072856903076172,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.8200000000000001,0.6198347935472511,0.406333327293396,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.84,0.6177710395929185,0.40628576278686523,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.86,0.49380097749406326,0.4034285545349121,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.88,0.5764468235073542,0.40533334016799927,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.9,0.5764468235073542,0.40533334016799927,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.92,0.6177710395929185,0.40628576278686523,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.94,0.6198347935472511,0.406333327293396,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.96,0.6198347935472511,0.406333327293396,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,0.98,0.6590926695206453,0.4072381258010864,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,Regret,1.0,0.6198347935472511,0.406333327293396,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.0,0.9999999988918511,0.0712378174066543,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.02,0.9676791834641782,0.0683211684226989,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.04,0.9297793025215079,0.0649010613560676,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.06,0.8930070742922563,0.0615827143192291,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.08,0.8614694565245253,0.0587367415428161,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.1,0.813097630062273,0.054371640086174,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.12,0.7845691227641025,0.0517972111701965,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.14,0.7506859576295895,0.0487395748496055,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.16,0.7124479790253693,0.0452889576554298,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.18,0.672323506289585,0.041668102145195,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.2,0.6417011878322187,0.0389047265052795,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.22,0.6059150158598386,0.03567536175251,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.24,0.5616328088040705,0.0316793099045753,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.26,0.5221699176463076,0.0281181558966636,,
