Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,Global,2023,All ages,Both,Maternal disorders,Percent of total DALYs,0.005572640709066351,0.0047629582889937684,0.006483361683237427
All Population,Global,1990 - 2023,All ages,Both,Maternal disorders,DALYs annual % change,-0.029391724112780154,,
All Population,Global,2023,All ages,Both,Maternal hemorrhage,Percent of total DALYs,0.001140031412362325,0.0007849555767600417,0.0015141119236416131
All Population,Global,1990 - 2023,All ages,Both,Maternal hemorrhage,DALYs annual % change,-0.04560347210973522,,
All Population,Global,2023,All ages,Both,Maternal sepsis and other maternal infections,Percent of total DALYs,0.0005974860887678028,0.00041991960899671627,0.0008067799753691748
All Population,Global,1990 - 2023,All ages,Both,Maternal sepsis and other maternal infections,DALYs annual % change,-0.026831358528982805,,
All Population,Global,2023,All ages,Both,Maternal hypertensive disorders,Percent of total DALYs,0.0011038977165457168,0.000847080708687522,0.001379524307289963
All Population,Global,1990 - 2023,All ages,Both,Maternal hypertensive disorders,DALYs annual % change,-0.024316975093295716,,
All Population,Global,2023,All ages,Both,Maternal obstructed labor and uterine rupture,Percent of total DALYs,0.00040255791394422895,0.00029228753813377654,0.0005467074909549102
All Population,Global,1990 - 2023,All ages,Both,Maternal obstructed labor and uterine rupture,DALYs annual % change,-0.031595418428228064,,
All Population,Global,2023,All ages,Both,Ectopic pregnancy,Percent of total DALYs,0.00027891721086322434,0.00018380090880537687,0.0003912476094907762
All Population,Global,1990 - 2023,All ages,Both,Ectopic pregnancy,DALYs annual % change,-0.002140586857296027,,
All Population,Global,2023,All ages,Both,Indirect maternal deaths,Percent of total DALYs,0.0005043612126940344,0.0003570498358902713,0.0007098573369664691
All Population,Global,1990 - 2023,All ages,Both,Indirect maternal deaths,DALYs annual % change,-0.027901185358737413,,
All Population,Global,2023,All ages,Both,Late maternal deaths,Percent of total DALYs,0.00017332236647949763,0.00014330007340969904,0.0002186153324429999
All Population,Global,1990 - 2023,All ages,Both,Late maternal deaths,DALYs annual % change,-0.009609418197023326,,
All Population,Global,2023,All ages,Both,Neonatal disorders,Percent of total DALYs,0.060832919522463176,0.0557693552849674,0.06692510748140215
All Population,Global,1990 - 2023,All ages,Both,Neonatal disorders,DALYs annual % change,-0.029217131886266564,,
All Population,Global,2023,All ages,Both,Neonatal preterm birth,Percent of total DALYs,0.02511382755584569,0.0211659079990972,0.029228602953720588
All Population,Global,1990 - 2023,All ages,Both,Neonatal preterm birth,DALYs annual % change,-0.03239555838929885,,
All Population,Global,2023,All ages,Both,Neonatal encephalopathy due to birth asphyxia and trauma,Percent of total DALYs,0.019667592674230506,0.01607730615911153,0.02337225791419906
All Population,Global,1990 - 2023,All ages,Both,Neonatal encephalopathy due to birth asphyxia and trauma,DALYs annual % change,-0.025431828374662742,,
All Population,Global,2023,All ages,Both,Neonatal sepsis and other neonatal infections,Percent of total DALYs,0.008121271649761902,0.00598522259647543,0.011162275858094874
All Population,Global,1990 - 2023,All ages,Both,Neonatal sepsis and other neonatal infections,DALYs annual % change,-0.024028043858098036,,
All Population,Global,2023,All ages,Both,Hemolytic disease and other neonatal jaundice,Percent of total DALYs,0.0016722655849860004,0.0012085165778622305,0.0022392609213613005
All Population,Global,1990 - 2023,All ages,Both,Hemolytic disease and other neonatal jaundice,DALYs annual % change,-0.04601262867763245,,
All Population,Global,2023,All ages,Both,Other neonatal disorders,Percent of total DALYs,0.006257962057639041,0.004137061937563848,0.008935627441473974
All Population,Global,1990 - 2023,All ages,Both,Other neonatal disorders,DALYs annual % change,-0.027055559449841823,,
All Population,Global,2023,All ages,Both,Nutritional deficiencies,Percent of total DALYs,0.020773520898175427,0.01589023811975801,0.02829221555081294
All Population,Global,1990 - 2023,All ages,Both,Nutritional deficiencies,DALYs annual % change,-0.023726902027081057,,
All Population,Global,2023,All ages,Both,Protein-energy malnutrition,Percent of total DALYs,0.005029114482435309,0.003970652869849102,0.006288365479848241
All Population,Global,1990 - 2023,All ages,Both,Protein-energy malnutrition,DALYs annual % change,-0.04461447627249283,,
All Population,Global,2023,All ages,Both,Iodine deficiency,Percent of total DALYs,0.0007978931064127577,0.0004330927973715433,0.0013679292169474005
All Population,Global,1990 - 2023,All ages,Both,Iodine deficiency,DALYs annual % change,-0.015230348511335094,,
